Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
Nighooda Rahasya,Kannada,"Thriller, Mystery",0.0,0.3176,1990-11-29,"Shankar Nag, Geetha, Vanitha Vasu, Tara, Ramesh Bhatkar",Is it a serial killer or a ghost that is killing people? Shankar Nag has to unravel the deadly mystery.,0.0
Hubballi,Kannada,"Action, Drama",0.0,0.3209,2006-11-10,"Sudeep, Rakshita, Ananthavelu, Srinivasa Prabhu, Swasthik Shankar",An unidentified person is badly injured but is saved by retired army man and his daughter. He recovers slowly but losses his memory. Will they able to bring back his lost memory?,0.0
Nee Bareda Kadambari,Kannada,"Drama, Romance",0.0,0.3794,1985-06-19,"Vishnuvardhan, Bhavya, Hema Chaudhary, C. R. Simha, Sundar Raj","A couple get married to each other despite the initial disapproval of her parents. However, the woman's father, creates troubles and tries to separate them.",0.0
Kaiva,Kannada,"Action, Drama",1.0,0.3238,2023-12-08,"Dhanveer Gowda, Megha Shetty, Dinakar Thoogudeepa, Karthik Jayaram, Ramesh Indira","Inspired from the true incidents occurred in Bengaluru - 1983, Kaiva brings the visual grandeur of Old Bengaluru showing the lights of world famous Bengaluru Karaga and the dark underworld of the city as well.",1.0
Vajrakaya,Kannada,Romance,4.3,0.4148,2015-06-12,"Shivaraj Kumar, Nabha Natesh, Shubra Aaiyappa, Avinash, Ravi Teja",Vajrakaya is a Kannada film directed by Harsha A and produced by C. R. Manohar and C R Gopi. The film stars  and Shivaraj Kumar in lead roles. Music was composed by Arjun Janya.,3.0
Yuvarathnaa,Kannada,"Action, Drama",5.2,0.3651,2021-03-31,"Puneeth Rajkumar, Sayesha Saigal, Sonu Gowda, Dhananjay, Prakash Raj","A government aided college, RK University, is on the verge of completing its golden jubilee but a bizarre event shuts it down indefinitely. Will RK University restore its lost glory?",10.0
Pushpaka Vimana,Kannada,"Comedy, Drama, Romance",7.1,0.3185,1987-11-17,"Kamal Haasan, Amala Akkineni, Tinnu Anand, Sameer Kakkar, Farida Jalal","A mentally-challenged father lives in his idyllic world with his daughter, both of them crazy about planes. In his quest to get his daughter that toy plane that she yearns for, he ends up in jail wrongly accused of a crime he doesn't commit. What follows is a bittersweet tale of a father and daughter trying to be together...",3.0
Runa Mukthalu,Kannada,Drama,0.0,0.3088,1984-01-01,"Bharathi Rao, Ramakrishna, K. S. Ashwath, Ashalatha, Padma Vasanthi","A 1984 Indian Kannada language film directed and co-produced by Puttanna Kanagal, starring Bharathi and Ramakrishna. The film is based on the novel Runa by Anupama Niranjana",0.0
Kolara,Kannada,"Action, Crime",10.0,0.4404,2017-07-07,"Yogesh, Naina Sarwar, Adithya Menon, Ashwath Ninasam, Rajendran","Thangam, known as Mini Veerappan in Kolar, has been cornered by an encounter specialist. He narrates his life story, on how he took to crime and also about the two important women in his life.",1.0
Mr. Bachelor,Kannada,"Action, Drama, Romance",0.0,0.3412,2023-01-06,"Darling Krishna, Milana Nagaraj, Nimika Ratnakar, Chikkanna, Sadhu Kokila","Mr. Bachelor is a Kannada movie starring Darling Krishna, Milana Nagaraj and Nimika Ratnakar in the lead.",0.0
