Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
ramabanam,telugu,"action, comedy",3.7,0.378,5/5/2023,"gopichand, dimple hayathi, jagapati babu, khushboo, vennela kishore",unknown,7.0
disco raja,telugu,"action, science fiction, thriller",6.7,0.3116,1/24/2020,"ravi teja, bobby simha, sunil varma, payal rajput, tanya hope","found frozen and brain-dead in ladakh, vasu is brought back to life but with no memories of who he was, until he starts to regain his past and piece it together to find the people responsible for his murder.",10.0
agnyaathavaasi,telugu,"drama, action",3.9,0.4015,1/9/2018,"pawan kalyan, keerthy suresh, anu emmanuel, aadhi pinisetty, boman irani",a billionaire govinda bhargav and his son are murdered with the aim of a hostile takeover of their company. but what his enemies do not know is that he has an heir that no one knows of.,16.0
bhairava dweepam,telugu,"fantasy, adventure",7.2,0.3702,4/5/1994,"nandamuri balakrishna, roja selvamani, vijayakumar, k r vijaya, kaikala satyanarayana","a boy is raised by a village chieftain after his mother loses him in the woods. as time passes and he grows up, he falls in love with a princess who is under the spell of a witch and decides to save her",5.0
lava kusa,telugu,fantasy,10.0,0.3968,3/29/1963,"n.t. rama rao, anjali devi, kanta rao, kaikala satyanarayana, sobhan babu",this movie deals with the later part of ramayana written by valmiki maharshi and depicts the lives of the sons of rama & sita.,2.0
oohalu gusagusalade,telugu,"comedy, romance",6.6,0.2988,6/20/2014,"naga shaurya, raashii khanna, srinivas avasarala, posani krishna murali, prudhviraj","venky, who aspires to become a newsreader, must face the challenges posed by his boss, uday. things get worse when uday seeks venky's help to woo a girl in return for his desired post.",17.0
keshava,telugu,"action, thriller, drama",5.727,0.3674,5/19/2017,"nikhil siddhartha, ritu varma, isha koppikar, rao ramesh, vennela kishore","keshava, a law college student is on a hunt down to kill all those who destroyed his family in a dreadful accident. keshava commits a series of murders and a special officer is appointed to deal with the case. rest of the story is as to how keshav dodges the cops and completes his revenge with the help of satyabhama.",11.0
anukokunda oka roju,telugu,"thriller, mystery",6.1,0.2859,6/30/2005,"charmy kaur, jagapati babu, shashank, harshavardhan, narsing yadav","sahasra, a struggling singer, attends a party and wakes up after a day without realising it. however, as the days pass, she feels something is amiss after getting chased by men who want to kill her.",12.0
black,telugu,"action, thriller",6.0,0.3175,5/28/2022,"aadi saikumar, darshana banik, kaushal manda, aamani, priyadarshi pullikonda",aditya is a police constable who's life takes a turn when a murder and robbery that take place while he is on duty. can aditya manage it all?,0.0
nee sneham,telugu,"drama, family",4.0,0.323,12/2/2002,"uday kiran, aarthi agarwal, jatin grewal, k. viswanath, giri babu","madhav (uday kiran) and seenu (jatin) are neighbors and best buddies. they play football representing the ap team. during their trip to calcutta, seenu gets injured in order to save madhav from an accident. doctors say that seenu is unfit to play football and he can walk only by using a walking stick. seenu takes a vow from madhav that he should not tell anybody that he was injured while saving madhav.  amrutha (arti agarwal) is a middle class girl who is raised by their grand parents (k viswanath and sujatha). madhav happens to see amrutha one fine day and falls in love with her.  if i start telling the relationships and complexity of the relations, you would complain to me after watching the film that i deprived you of enjoying the happenings on the screen. so let me stop writing the story line and start jumping into actor's performance department.",1.0
leader,telugu,"drama, romance",6.239,0.396,2/19/2010,"rana daggubati, harshavardhan, priya anand, subbaraju, kota srinivasa rao",unknown,23.0
shekar,telugu,"crime, thriller, drama",6.0,0.3521,5/20/2022,"dr. rajasekhar, athmeeya rajan, shivani rajashekar, muskaan khubchandani, abhinav gomatam",an alcoholic ex-cop lives a somewhat peaceful life with his pampered daughter. an unfortunate incident forces him to lead an investigation again.,0.0
swathi muthyam,telugu,"romance, family",6.7,0.1326,10/5/2022,"bellamkonda ganesh, varsha bollamma, vennela kishore, naresh, rao ramesh","balamurali, a government employee, gets ready to marry bhagyalakshmi as soon as he meets her in an arranged marriage setup. everything goes on smoothly until there comes a day when it is revealed that the groom has fathered a child in the past.",5.0
om namo venkatesaya,telugu,drama,4.3,0.3926,2/10/2017,"nagarjuna akkineni, anushka shetty, jagapati babu, sourabh raaj jain, sai kumar","raama, who is a devotee of lord venkateswara, denounces worldly pleasures including his soon-to-be-bride and maradalu bhavani and ends up at tirumala. he decides to change the face of tirumala by turning it into kaliyuga vaikuntham both for pilgrims and the deity with the help of krishnamma. his endeavours to do so, the hurdles and his encounters with the lord himself is the story.",3.0
kothapallilo okappudu,telugu,"comedy, drama",6.0,0.392,7/18/2025,"ravindra vijay, manoj chandra, usha bonela, monika t, shining phani","when a man pursues a local woman, his relationship with her friend is misconstrued by the villagers.",1.0
blade babji,telugu,"comedy, romance",7.375,0.3918,12/10/2008,"allari naresh, sayali bhagat, ruthika, brahmanandam, venu madhav","blade babji (allari naresh) is a pickpocket who takes up the mission of earning 4 crores to rescue the slum dwellers in his area from a builder. he and his gang go to vizag and rob a bank. and they hide the loot in a building under construction. they were forced to go away for a month and when they return they find a police control room at the spot where they hidden their loot. in order to retrieve the loot, blade babji takes the position of newly joined krishna manohar (spoof of pokiri) by kidnapping him. the rest of the story is all about the comedy of errors that followed.",4.0
bhola shankar,telugu,"action, crime, drama, thriller",4.8,0.3908,8/10/2023,"chiranjeevi, keerthy suresh, tamannaah bhatia, sushanth, murali sharma",unknown,4.0
maro charitra,telugu,"family, romance, drama",6.0,0.3904,3/25/2010,"varun sandesh, anita galler, shraddha das, janaki sabesh, prathap pothan","a young man and a woman fall in love with each other. however, their parents decide to test their relationship by separating the couple for a year.",2.0
kumari 21f,telugu,"drama, romance",7.3,0.3902,11/20/2015,"raj tarun, hebah patel, noel sean, hema, nellore sudharshan","a young man's love for his girlfriend, who is a model and moves very free to every one is tested by the rumors surrounding her.",10.0
badri,telugu,"romance, drama, family",5.9,0.3902,4/20/2000,"pawan kalyan, ameesha patel, renu desai, prakash raj, kota srinivasa rao","vennela accuses badri of not loving her sincerely and challenges him that no one can love him like she does. however, their lives take a turn when he meets sarayu and she falls madly in love with him.",13.0
king,telugu,"action, comedy, crime",5.0,0.3901,12/25/2008,"nagarjuna akkineni, trisha krishnan, srihari, mamta mohandas, brahmanandam","after coimbatore-based ravichandra verma passes away, his young son, raja, assumes the responsibility of running the family business as well as ensuring that his brother, ajay, gets a good education - much to the chagrin of three of his uncles. years later, while on a trip to uttaranchal, despite of warnings from a pandit, he gets killed by a female assassin, but his family is informed that he is missing. shortly thereafter, gyaneshwar kale and his sister, sravani/shivani, will inform the family that raja is still alive but is handicapped and suffers from memory loss. the family is overjoyed but are not aware that raja is actually a hoodlum/extortionist known as bottu seenu/raghu rokda.",19.0
intlo illalu vantintlo priyuralu,telugu,family,6.6,0.3899,5/23/1996,"venkatesh, soundarya, vinita, brahmanandam, kota srinivasa rao","when sriram learns that his wife, seeta, cannot bear a child, he keeps it hidden from his father. however, he marries manisha under dire circumstances during his trip to nepal and soon learns that she is pregnant. they have a son and seeta, after much reluctance, accepts manisha as sriram's wife.",4.0
asthram,telugu,"drama, action, crime",2.7,0.3898,2/5/2006,"vishnu manchu, anushka shetty, jackie shroff, rahul dev, sarath babu","'astram' is the remake of hindi movie 'sarfarosh' which starred aamir khan in lead. the movie was a hit at that time. suresh krishna has tried to match the present cast with that of the original. his selection of script is an upset to the audience. he has selected vishnu in lead but failed to have actual grip on the movie.  vishnu has performed well as a responsible ips officer. this can be stated as his best job till now. the guy has a long way to go. anushka, as vishnu's ladylove, adds glamour to the movie. though jackie shroff's role is short, his performance is fine. the technical aspects of the movie are pass muster. music by s.a.rajkumar is a mediocre. suresh krishna's direction, screenplay are okay.",3.0
extra ordinary man,telugu,"action, drama",6.1,0.3897,12/7/2023,"nithiin, sreeleela, rao ramesh, rohini, sampath raj","abhi, from his childhood, revels in the art of playing other people. his mother recognizes his extraordinary talent, propelling him into the world of acting. as he matures, he becomes a sought-after junior artist, always relegated to the background. the lines between reel and real life blur as abhi faces a complex situation at home, with a supportive mother and a nagging and concerned father. a chance encounter with likitha , the md of a company, leads to love, and abhi finds himself playing the role of a ceo. however, a conniving director presents an intriguing script, introducing abhi to nero, a self-absorbed and evil character with conquest on his mind.",5.0
kondaveeti simham,telugu,action,7.3,0.3892,10/7/1981,"n.t. rama rao, sridevi, jayanthi, mohan babu, rao gopal rao","a policeman attempts to discipline his rebellious son, but his efforts go in vain as his son starts resenting him.",3.0
ek niranjan,telugu,"romance, action, drama",5.4,0.3887,10/29/2009,"prabhas, kangana ranaut, sonu sood, mukul dev, venu madhav","a bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",12.0
taxiwala,telugu,"thriller, comedy, horror",5.9,0.3882,6/1/2018,"vijay deverakonda, priyanka jawalkar, malavika nair, ravi prakash, uttej","a job monger, shiva who ends up as a taxiwala only to realise his ride is a beyond what anyone can expect.",28.0
geethanjali malli vachindi,telugu,"comedy, horror",8.5,0.3881,4/11/2024,"anjali, srinivasa reddy, satyam rajesh, shakalaka shankar, satya",a group of boisterous artists come to film a horror movie in a seemingly haunted bungalow but their plans are soon derailed by intercepting ghosts and spirits inhabiting the premises.,2.0
raju gari gadhi 2,telugu,"crime, horror, thriller",4.889,0.3867,10/13/2017,"nagarjuna akkineni, samantha ruth prabhu, seerat kapoor, ashwin babu, vennela kishore","three friends  ashwin, kishore and praveen get into business by purchasing a resort. pretty soon, they find that they've got more than what they've bargained for. apparently, the resort is haunted by a ghost. unwilling to sell the resort, they seek the help of a mentalist, rudra, to exorcise the ghost.",9.0
kshana kshanam,telugu,"drama, thriller, crime, action, comedy",5.5,0.3867,10/9/1991,"sridevi, venkatesh, paresh rawal, rami reddy, brahmanandam","chandu is a petty thief who comes across satya, an innocent girl who unwittingly comes across a way to a huge amount of money stolen from a bank. while the gang that robbed the bank go after her for the clue, one member dies in her apartment and she believes she's the one that killed him. every one including the original gang that robbed the bank, the police and now chandu and satya go after the money.",17.0
